,Shift,Name,Mean Prop,Valency
98,-5816,cis-[Pt(SbMe3)I2],51.99999999999999,4.0
99,-3950,trans-[Pt(PMe3)Cl2],16.0,4.0
100,-3780,trans-[Pt(AsMe3)Cl2],25.0,4.0
101,-3424,trans-[Pt(SMe2)Cl2],16.5,4.0
102,-3504,trans-[Pt(SeMe2)Cl2],25.5,4.0
103,-4473,trans-[Pt(PMe3)Br2],25.0,4.0
104,-4378,trans-[Pt(AsMe3)Br2],34.0,4.0
105,-3899,trans-[Pt(SMe2)Br2],25.5,4.0
106,-4041,trans-[Pt(SeMe2)Br2],34.5,4.0
107,-5539,trans-[Pt(PMe3)I2],34.0,4.0
108,-5518,trans-[Pt(AsMe3)I2],43.0,4.0
109,-5789,trans-[Pt(SMe2)I2],34.5,4.0
110,-4819,trans-[Pt(SeMe2)I2],43.5,4.0
111,-5664,trans-[Pt(TeMe2)I2],52.5,4.0
112,-4746,[Pt(CN)4]-2,6.0,4.0
113,-2690,[PtBr4]-2,35.0,4.0
114,-3298,cis-Pt(SOMe2)2Cl(OH),14.25,4.0
115,-3167,cis-Pt(SOMe2)2(OH)2,12.000000000000002,4.0
116,-3352,cis-Pt(NH3)(SOMe2)Br2,23.25,4.0
117,-3506,trans-Pt(NH3)(SOMe2)Br2,23.25,4.0
118,-2184,cis-Pt(1-adam)2Cl2,12.0,4.0
119,-1686,cis-Pt(NH3)2(bumal)2,7.5,4.0
120,-1705,cis-Pt(EtNH2)2(Ac)2,7.5,4.0
121,-1872,cis-Pt(EtNH2)2(Ox),7.5,4.0
122,-1873,cis-Pt(EtNH2)2(Mal),7.5,4.0
123,-1693,cis-Pt(Me2NH)2(Ac)2,7.5,4.0
124,-1615,cis-Pt(Me2NH)2(PhCOO)2,7.5,4.0
125,-1887,cis-Pt(Me2NH)2(Ox),7.5,4.0
126,-1882,cis-Pt(Me2NH)2(Mal),7.5,4.0
127,-2174,trans-Pt(NH3)2Cl2,12.0,4.0
128,-5067,trans-PtCl(SiH3)(PEt3)2,15.25,4.0
129,-4935,trans-PtCl(SiH2F)(PEt3)2,15.25,4.0
130,-4992,trans-PtCl(SiH2Cl)(PEt3)2,15.25,4.0
131,-4853,trans-PtCl(SiHCl2)(PEt3)2,15.25,4.0
132,-5061,trans-PtBr(SiH2Br)(PEt3)2,19.75,4.0
133,-4902,trans-PtBr(SiHBr2)(PEt3)2,19.75,4.0
134,-5270,trans-PtI(SiH3)(PEt3)2,24.25,4.0
135,-5198,trans-PtI(SiH2Cl)(PEt3)2,24.25,4.0
136,-5164,trans-PtI(SiH2I)(PEt3)2,24.25,4.0
137,-4904,trans-PtCl(GeH2Cl)(PEt3)2,19.75,4.0
138,-5317,trans-PtI(GeH3)(PEt3)2,28.75,4.0
139,-4780,trans-PtCl(SnCl3)(PEt3)2,24.25,4.0
140,-5302,trans-PtH(SnCl3)(PEt3)2,20.25,4.0
141,-2224,trans-Pt(NCS)2(NMe3)2,7.0,4.0
142,-2090,trans-PtCl(NCS)(NMe3)2,9.5,4.0
143,-4159,trans-Pt(AsMe3)2(SCN)(NCS),22.25,4.0
144,-3733,trans-Pt(AsMe3)2(NCS)2,20.0,4.0
145,-4950,cis-Pt(SCN)2(SbMe3)2,33.5,4.0
146,-4570,trans-Pt(SCN)2(SbMe3)2,33.5,4.0
147,-4146,trans-Pt(SCN)2(SMe2)2,16.0,4.0
148,-3726,trans-Pt(SCN)(NCS)(SMe2)2,13.75,4.0
149,-3198,trans-Pt(NCS)2(SMe2)2,11.5,4.0
150,-4363,trans-Pt(SCN)2(SeMe2)2,25.0,4.0
151,-3897,trans-Pt(SCN)(NCS)(SeMe2)2,22.75,4.0
152,-3338,trans-Pt(NCS)2(SeMe2)2,20.5,4.0
153,-4564,cis-Pt(NCS)(SCN)(PMe3)2,13.25,4.0
154,-4372,cis-Pt(NCS)2(PMe3)2,11.0,4.0
155,-2605,[Pt(NCS)(SCN)(NCS)(NMe3)]-,9.25,4.0
156,-2088,[Pt(NCS)3(NMe3)]-,7.0,4.0
157,-4354,[Pt(SCN)3(PMe3)]-,15.750000000000002,4.0
158,-3985,[Pt(NCS)(SCN)2(PMe3)]-,13.5,4.0
159,-3578,[Pt(NCS)(SCN)(NCS)(PMe3)]-,11.25,4.0
160,-4094,[Pt(SCN)(NCS)(SCN)(PMe3)]-,13.5,4.0
161,-3830,[Pt(NCS)2(SCN)(PMe3)]-,11.25,4.0
162,-3519,[Pt(NCS)3(PMe3)]-,9.0,4.0
163,-4305,[Pt(SCN)3(AsMe3)]-,20.25,4.0
164,-3891,[Pt(NCS)(SCN)2(AsMe3)]-,18.0,4.0
165,-3957,[Pt(SCN)(NCS)(SCN)(AsMe3)]-,18.0,4.0
166,-3636,[Pt(NCS)2(SCN)(AsMe3)]-,15.75,4.0
167,-4067,[Pt(SCN)3(SMe2)]-,16.0,4.0
168,-3602,[Pt(NCS)(SCN)2(SMe2)]-,13.75,4.0
169,-3035,[Pt(NCS)(SCN)(NCS)(SMe2)]-,11.5,4.0
170,-3589,[Pt(SCN)(NCS)(SCN)(SMe2)]-,13.75,4.0
171,-3231,[Pt(NCS)2(SCN)(SMe2)]-,11.5,4.0
172,-4174,[Pt(SCN)3(SeMe2)]-,20.5,4.0
173,-3676,[Pt(NCS)(SCN)2(SeMe2)]-,18.25,4.0
174,-3087,[Pt(NCS)(SCN)(NCS)(SeMe2)]-,16.0,4.0
175,-3682,[Pt(SCN)(NCS)(SCN)(SeMe2)]-,18.25,4.0
176,-4441,[Pt(SCN)3(TeMe2)]-,25.0,4.0
177,-3928,[Pt(NCS)(SCN)2(TeMe2)]-,22.75,4.0
178,-3343,[Pt(NCS)(SCN)(NCS)(TeMe2)]-,20.5,4.0
179,-3961,[Pt(SCN)4]-2,16.0,4.0
180,-3431,[Pt(NCS)(SCN)3]-2,13.75,4.0
181,-3881,trans-[Pt(NCS)2(PBun3)2],11.0,4.0
182,-4244,trans-[Pt(NCS)(SCN)(PBun3)2],13.25,4.0
183,-4526,trans-[Pt(SCN)2(PBun3)2],15.5,4.0
184,-3512,cis-[Pt(NH3)2(SOMe2)2]2+,11.5,4.0
185,-4405,cis-[Pt(NH3)(SOMe2)I2],32.25,4.0
186,-3650,[Pt(en)(SOMe2)2]2+,11.5,4.0
187,-3845,[Pt(SOMe2)3Cl]+,16.25,4.0
188,-3213,cis-[Pt(SOMe2)Cl2Br]-,21.25,4.0
189,-3101,trans-[Pt(SOMe2)Cl2Br]-,21.25,4.0
190,-3348,cis-[Pt(SOMe2)ClBr2]-,25.75,4.0
191,-3457,trans-[Pt(SOMe2)ClBr2]-,25.75,4.0
192,-2811,cis-[Pt(SOMe2)Cl2(OH)]-,14.5,4.0
193,-2906,trans-[Pt(SOMe2)Cl2(OH)]-,14.5,4.0
194,-2526,[Pt(SOMe2)(OH)3]-,10.0,4.0
195,-3095,cis-[Pt(SOMe2)2(OH)(OH2)]+,12.000000000000002,4.0
196,-1822,[Pt(1-adam)Cl3]-,14.5,4.0
197,-3364,cis-[Pt(1-adam)2I2],30.0,4.0
198,-1456,cis-Pt(Me2en)2(Ac)2,7.5,4.0
199,-1469,cis-Pt(Me4en)2(Ac)2,7.5,4.0
200,-1816,cis-Pt(Me2en)2(PhCOO)2,7.5,4.0
201,-1706,cis-Pt(Me4en)2(PhCOO)2,7.5,4.0
202,-1988,cis-Pt(Me2en)2(Ox),7.5,4.0
203,-1970,cis-Pt(Me4en)2(Ox),7.5,4.0
204,-1974,cis-Pt(Me2en)2(Mal),7.5,4.0
205,-1976,cis-Pt(Me4en)2(Mal),7.5,4.0
206,-1835,cis-Pt(Me2NH)2(benzmal),7.5,4.0
207,-1926,cis-Pt(Me2en)2(benzmal),7.5,4.0
208,-1930,cis-Pt(Me4en)2(benzmal),7.5,4.0
209,-1827,cis-Pt(EtNH2)2(bumal)2,7.5,4.0
210,-1826,cis-Pt(Me2NH)2(bumal)2,7.5,4.0
211,-1923,cis-Pt(Me2en)2(bumal)2,7.5,4.0
212,-1922,cis-Pt(Me4en)2(bumal)2,7.5,4.0
213,-1833,cis-Pt(EtNH2)2(benzmal),7.5,4.0
214,-3540,[Pt(PEt3)Cl3]-,16.5,4.0
215,-4490,cis-[Pt(PEt3)2Cl2],16.0,4.0
216,-3938,trans-[Pt(PEt3)2Cl2],16.0,4.0
217,-3626,[Pt(PF3)Cl3]-,16.5,4.0
218,-4363,cis-[Pt(AsEt3)2Cl2],25.0,4.0
219,-3710,trans-[Pt(AsEt3)2Cl2],25.0,4.0
220,-4594,cis-[PtMe2(PMe2Ph)2],10.5,4.0
221,-4584,cis-[Pt(AsEt3)2Ph2],19.5,4.0
